Aircraft,Reg,Cockpit,Cabin,Pantry,WaterPercent,BasicWeight,DOI
A321-231,TC-JRA,2,5,L,50,50573,42.5
A321-231,TC-JRA,2,5,M,50,50300,40.8
A321-231,TC-JRA,2,5,S,50,49999,36.7
A321-231,TC-JRA,2,5,D,50,49883,35.0
A321-231,TC-JRA,2,5,F,50,49319,32.5
A321-231,TC-JRA,2,6,L,50,50648,41.3
A321-231,TC-JRA,2,6,M,50,50375,39.6
A321-231,TC-JRA,2,6,S,50,50074,35.5
A321-231,TC-JRA,2,6,D,50,49958,33.8
A321-231,TC-JRA,2,6,F,50,49394,31.3
A321-231,TC-JRA,2,7,L,50,50723,42.5
A321-231,TC-JRA,2,7,M,50,50450,40.8
A321-231,TC-JRA,2,7,S,50,50149,36.7
A321-231,TC-JRA,2,7,D,50,50033,35.0
A321-231,TC-JRA,2,7,F,50,49469,32.5
A321-231,TC-JRA,2,8,L,50,50798,43.7
A321-231,TC-JRA,2,8,M,50,50525,42.0
A321-231,TC-JRA,2,8,S,50,50224,37.9
A321-231,TC-JRA,2,8,D,50,50108,36.2
A321-231,TC-JRA,2,8,F,50,49544,33.7
A321-231,TC-JRA,3,0,L,50,50283,40.2
A321-231,TC-JRA,3,0,M,50,50010,38.5
A321-231,TC-JRA,3,0,S,50,49709,34.4
A321-231,TC-JRA,3,0,D,50,49593,32.7
A321-231,TC-JRA,3,0,F,50,49029,30.2
A321-231,TC-JRA,3,1,L,50,50358,39.0
A321-231,TC-JRA,3,1,M,50,50085,37.3
A321-231,TC-JRA,3,1,S,50,49784,33.2
A321-231,TC-JRA,3,1,D,50,49668,31.5
A321-231,TC-JRA,3,1,F,50,49104,29.0
A321-231,TC-JRA,3,2,L,50,50433,40.2
A321-231,TC-JRA,3,2,M,50,50160,38.5
A321-231,TC-JRA,3,2,S,50,49859,34.4
A321-231,TC-JRA,3,2,D,50,49743,32.7
A321-231,TC-JRA,3,2,F,50,49179,30.2
A321-231,TC-JRA,3,4,L,50,50583,39.9
A321-231,TC-JRA,3,4,M,50,50310,38.2
A321-231,TC-JRA,3,4,S,50,50009,34.1
A321-231,TC-JRA,3,4,D,50,49893,32.4
A321-231,TC-JRA,3,4,F,50,49329,29.9
A321-231,TC-JRA,3,5,L,50,50658,41.0
A321-231,TC-JRA,3,5,M,50,50385,39.3
A321-231,TC-JRA,3,5,S,50,50084,35.2
A321-231,TC-JRA,3,5,D,50,49968,33.5
A321-231,TC-JRA,3,5,F,50,49404,31.0
A321-231,TC-JRA,3,6,L,50,50733,39.8
A321-231,TC-JRA,3,6,M,50,50460,38.1
A321-231,TC-JRA,3,6,S,50,50159,34.0
A321-231,TC-JRA,3,6,D,50,50043,32.3
A321-231,TC-JRA,3,6,F,50,49479,29.8
A321-231,TC-JRA,3,7,L,50,50808,41.0
A321-231,TC-JRA,3,7,M,50,50535,39.3
A321-231,TC-JRA,3,7,S,50,50234,35.2
A321-231,TC-JRA,3,7,D,50,50118,33.5
A321-231,TC-JRA,3,7,F,50,49554,31.0
A321-231,TC-JRA,3,8,L,50,50883,42.2
A321-231,TC-JRA,3,8,M,50,50610,40.5
A321-231,TC-JRA,3,8,S,50,50309,36.4
A321-231,TC-JRA,3,8,D,50,50193,34.7
A321-231,TC-JRA,3,8,F,50,49629,32.2
A321-231,TC-JRA,2,0,L,25,50148,41.0
A321-231,TC-JRA,2,0,M,25,49875,39.3
A321-231,TC-JRA,2,0,S,25,49574,35.2
A321-231,TC-JRA,2,0,D,25,49458,33.5
A321-231,TC-JRA,2,0,F,25,48894,31.0
A321-231,TC-JRA,2,1,L,25,50223,39.8
A321-231,TC-JRA,2,1,M,25,49950,38.1
A321-231,TC-JRA,2,1,S,25,49649,34.0
A321-231,TC-JRA,2,1,D,25,49533,32.3
A321-231,TC-JRA,2,1,F,25,48969,29.8
A321-231,TC-JRA,2,2,L,25,50298,41.0
A321-231,TC-JRA,2,2,M,25,50025,39.3
